Name,Market Cap,Price,Circulating Supply,Volume(24h),%24h
QTUM,"$344,644,259.37",$3.30,"104,325,535 QTUM *","$43,328,762.09",0.80%
FLUX,"$342,042,651.53",$1.32,"259,541,866 FLUX","$14,642,093.28",0.90%
BAL,"$331,626,445.82",$7.58,"43,772,923 BAL *","$17,705,334.07",0.78%
XDC,"$329,316,546.58",$0.02676,"12,305,012,699 XDC *","$2,429,004.31",0.25%
ROSE,"$327,817,166.20",$0.06521,"5,027,383,223 ROSE *","$36,914,650.06",0.62%
OP,"$328,761,768.79",$1.40,"234,748,364 OP","$226,639,340.03",1.79%
GLM,"$333,054,042.38",$0.3331,"1,000,000,000 GLM *","$164,788,703.07",5.80%
KDA,"$318,314,378.08",$1.61,"198,047,245 KDA","$22,528,293.11",0.14%
ENS,"$318,953,130.68",$15.75,"20,244,862 ENS *","$102,721,391.45",1.08%
BNX,"$315,226,042.74",$155.83,"2,022,898 BNX *","$9,433,691.96",1.33%
TFUEL,"$313,194,496.12",$0.05908,"5,301,214,400 TFUEL *","$8,228,724.17",0.40%
IOTX,"$294,640,114.61",$0.03088,"9,540,779,324 IOTX *","$8,267,906.63",0.48%
AMP,"$278,421,739.29",$0.006593,"42,227,702,186 AMP","$88,525,017.13",11.11%
LPT,"$276,121,558.87",$11.22,"24,600,986 LPT *","$9,659,857.68",0.51%
OMG,"$271,431,642.58",$1.94,"140,245,398 OMG *","$32,012,725.28",0.65%
ONE,"$271,399,506.07",$0.02164,"12,543,219,518 ONE *","$28,611,911.68",0.78%
BORA,"$268,816,129.73",$0.2898,"927,500,000 BORA *","$6,597,218.17",0.48%
ICX,"$265,528,830.57",$0.2888,"919,483,096 ICX *","$9,081,077.39",0.66%
ZRX,"$265,504,019.71",$0.3133,"847,496,055 ZRX *","$17,231,767.07",0.62%
RSR,"$262,320,089.00",$0.006201,"42,302,323,974 RSR *","$11,024,915.56",0.45%
POLY,"$266,515,491.93",$0.2881,"924,998,413 POLY *","$99,387,038.61",3.15%
VGX,"$259,001,127.42",$0.93,"278,482,214 VGX *","$51,301,148.33",78.14%
JST,"$251,952,364.04",$0.0283,"8,902,080,000 JST *","$33,813,064.43",0.26%
BTRST,"$251,708,331.91",$2.10,"119,853,514 BTRST *","$1,867,306.77",2.71%
HIVE,"$251,390,280.88",$0.5783,"434,715,179 HIVE *","$25,923,867.51",0.29%
IOST,"$249,900,196.09",$0.01344,"18,588,745,668 IOST *","$14,211,726.98",0.60%
XYM,"$236,898,580.49",$0.04244,"5,582,460,005 XYM *","$2,042,270.92",0.02%
AUDIO,"$233,965,744.12",$0.2837,"824,683,041 AUDIO *","$7,779,555.08",0.16%
STORJ,"$228,655,391.19",$0.5537,"412,937,122 STORJ *","$28,399,006.25",0.28%
GLMR,"$228,838,773.86",$0.595,"384,585,192 GLMR *","$24,373,323.02",5.30%
SRM,"$225,895,464.77",$0.8581,"263,244,669 SRM *","$16,693,413.88",0.65%
ONT,"$221,208,636.84",$0.2527,"875,249,524 ONT *","$16,883,759.93",0.74%
WAXP,"$219,974,124.46",$0.1019,"2,159,224,144 WAXP *","$18,668,473.32",0.64%
SC,"$218,341,287.87",$0.0042,"51,989,512,992 SC","$6,212,113.52",0.55%
ZEN,"$211,191,535.34",$16.48,"12,811,450 ZEN","$9,769,549.91",0.72%
IMX,"$203,606,486.11",$0.8654,"235,284,001 IMX *","$19,506,124.49",0.79%
PLA,"$199,346,907.27",$0.4083,"488,229,678 PLA *","$53,250,467.73",2.33%
SXP,"$192,250,850.13",$0.3867,"497,202,588 SXP *","$23,565,473.85",0.47%
UMA,"$191,648,512.48",$2.78,"68,858,681 UMA *","$16,023,288.97",0.33%
CHSB,"$190,666,602.68",$0.1907,"1,000,000,000 CHSB *","$254,315.72",0.64%
XCH,"$190,406,965.14",$37.63,"5,059,332 XCH","$6,750,798.67",0.13%
SCRT,"$190,073,524.44",$1.16,"163,295,557 SCRT *","$3,723,653.10",10.81%
WOO,"$189,006,804.53",$0.1644,"1,149,882,834 WOO *","$16,207,324.66",0.86%
CSPR,"$186,468,414.15",$0.03114,"5,988,368,074 CSPR *","$15,403,336.98",0.99%
SKL,"$185,364,429.39",$0.05003,"3,704,977,671 SKL *","$15,400,242.90",0.95%
ABBC,"$183,765,757.07",$0.1814,"1,012,801,889 ABBC *","$22,330,443.85",0.15%
MXC,"$181,270,427.04",$0.06861,"2,642,132,371 MXC *","$9,787,335.78",0.82%
SLP,"$174,803,413.31",$0.004034,"43,332,936,542 SLP *","$16,964,306.34",0.70%
DGB,"$168,892,904.50",$0.0108,"15,639,773,461 DGB","$9,015,709.58",0.18%
SUSHI,"$165,679,482.67",$1.30,"127,244,443 SUSHI *","$43,555,225.98",0.28%
ELON,"$162,365,857.67",$0.0000003,"547,554,094,624,828 ELON *","$3,902,122.17",0.54%
NFT,"$161,933,775.23",$0.00000058,"277,080,562,500,000 NFT *","$27,741,604.66",0.52%
DAO,"$162,067,254.80",$1.76,"92,075,499 DAO *","$2,533,965.57",0.35%
CVC,"$151,882,437.49",$0.1519,"1,000,000,000 CVC *","$29,689,619.84",0.43%
KEEP,"$148,561,546.89",$0.1726,"860,762,270 KEEP *","$2,136,519.72",2.92%
RNDR,"$143,051,427.59",$0.5636,"253,798,860 RNDR *","$13,357,205.24",0.72%
PUNDIX,"$140,888,351.58",$0.545,"258,491,637 PUNDIX","$23,978,872.66",0.15%
UOS,"$139,568,154.62",$0.4594,"303,793,578 UOS *","$1,731,668.48",0.62%
LSK,"$139,642,471.30",$1.08,"128,900,445 LSK *","$6,066,042.65",0.57%
BTCST,"$137,942,526.36",$11.31,"12,201,404 BTCST *","$12,863,711.87",0.64%
SPELL,"$137,476,098.17",$0.001368,"100,473,293,078 SPELL *","$28,651,044.91",0.59%
EPS,"$135,982,544.82",$0.1879,"723,701,572 EPS *","$1,891,017.61",0.30%
MED,"$136,166,895.01",$0.02188,"6,222,777,786 MED *","$2,451,617.77",0.33%
EWT,"$134,928,940.69",$4.49,"30,062,138 EWT *","$1,048,434.67",11.08%
INJ,"$136,075,491.41",$1.86,"73,005,554 INJ *","$73,325,599.81",13.67%
CELR,"$131,782,306.83",$0.0186,"7,085,488,367 CELR *","$7,865,483.53",0.75%
REN,"$131,016,535.93",$0.1311,"999,037,500 REN *","$15,342,275.80",0.47%
CKB,"$130,031,281.63",$0.0039,"33,340,068,750 CKB","$3,145,440.32",0.61%
LOOM,"$122,145,331.19",$0.09396,"1,300,000,000 LOOM *","$391,698,325.03",2.36%
NU,"$123,882,879.32",$0.1762,"703,000,000 NU *","$25,911,360.80",0.70%
XNO,"$123,802,854.11",$0.9291,"133,248,297 XNO *","$1,818,609.29",0.82%
REQ,"$123,648,051.96",$0.1237,"999,830,316 REQ *","$4,652,868.15",0.53%
ACA,"$121,616,740.73",$0.2392,"508,338,889 ACA *","$7,366,246.91",0.05%
SYS,"$120,281,378.10",$0.1818,"661,560,196 SYS","$11,671,535.57",0.19%
ONG,"$119,392,053.34",$0.374,"319,225,257 ONG *","$7,337,003.36",0.23%
PEOPLE,"$117,864,657.19",$0.02329,"5,060,137,335 PEOPLE","$61,849,377.36",0.19%
ARDR,"$117,307,292.69",$0.1174,"998,999,495 ARDR *","$15,129,794.55",0.73%
ORBS,"$114,721,168.17",$0.03988,"2,876,767,039 ORBS *","$2,622,058.58",0.42%
PROM,"$113,516,805.90",$6.90,"16,450,000 PROM *","$18,304,912.69",5.20%
CFX,"$113,554,897.07",$0.05431,"2,090,735,404 CFX","$5,343,358.07",3.42%
POWR,"$111,906,175.60",$0.2306,"485,339,140 POWR *","$47,358,574.25",0.43%
NMR,"$111,612,962.60",$18.95,"5,888,504 NMR *","$11,058,754.61",5.60%
OCEAN,"$111,229,604.75",$0.1814,"613,099,141 OCEAN *","$12,305,292.96",0.91%
COTI,"$110,493,531.29",$0.09967,"1,108,643,952 COTI *","$5,947,924.68",0.58%
SNT,"$107,944,526.96",$0.0311,"3,470,483,788 SNT *","$9,130,101.36",0.92%
XYO,"$107,093,300.81",$0.008337,"12,844,821,266 XYO *","$2,724,239.42",1.45%
DYDX,"$107,466,146.85",$1.64,"65,569,295 DYDX *","$67,788,738.12",0.58%
RLC,"$106,477,357.33",$1.31,"80,999,785 RLC *","$10,804,586.39",0.68%
FXS,"$106,110,013.16",$6.55,"16,209,405 FXS *","$5,310,320.11",0.44%
FX,"$105,948,709.27",$0.2593,"408,520,357 FX *","$857,332.02",0.10%
WIN,"$105,499,086.98",$0.0001097,"961,737,300,000 WIN *","$37,875,081.81",0.42%
CHR,"$104,348,528.10",$0.1839,"567,369,439 CHR *","$16,538,756.58",0.35%
API3,"$104,066,562.86",$1.84,"56,547,601 API3 *","$18,530,829.42",0.83%
